cenario;arquivo_instancia;makespan_final;ddlb;razao_ms_ddlb;melhoria_ms;iteracoes;tempo_ga_ms
LHLLHLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLHLL\LHLLHLL_1.json;2335,74;2187,70;1,0677;55,36;2;0,00
LHLLHLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLHLL\LHLLHLL_10.json;2537,95;2483,45;1,0219;61,29;2;0,00
LHLLHLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLHLL\LHLLHLL_2.json;2068,35;1890,25;1,0942;77,63;4;0,00
LHLLHLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLHLL\LHLLHLL_3.json;2510,11;2333,82;1,0755;77,17;3;0,00
LHLLHLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLHLL\LHLLHLL_4.json;2510,18;2349,86;1,0682;111,22;2;0,50
LHLLHLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLHLL\LHLLHLL_5.json;2128,26;1889,84;1,1262;80,66;3;0,00
LHLLHLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLHLL\LHLLHLL_6.json;2420,18;2243,03;1,0790;134,56;2;0,00
LHLLHLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLHLL\LHLLHLL_7.json;2438,92;2262,68;1,0779;114,15;3;0,00
LHLLHLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLHLL\LHLLHLL_8.json;2286,20;2231,72;1,0244;50,86;2;0,00
LHLLHLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LHLLHLL\LHLLHLL_9.json;2082,03;1912,76;1,0885;78,51;2;0,00
